open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_vol,taker_buy_quote_vol
1741122060000,2.307,2.366,2.298,2.360,189696.9,1741123799999,442828.3005,3567,97871.9,228350.8638
1741123800000,2.360,2.361,2.336,2.344,129254.2,1741125599999,303661.5797,2955,60337.6,141769.6568
1741125600000,2.345,2.353,2.336,2.349,60095.5,1741127399999,140814.5657,1786,27254.600000000002,63861.5113
1741127400000,2.349,2.352,2.331,2.335,63426.6,1741129199999,148553.8584,1390,22773.1,53388.7746
1741129200000,2.334,2.341,2.322,2.332,61749.8,1741130999999,144056.6949,2028,29838.9,69608.4356
1741131000000,2.332,2.34,2.331,2.333,26909.3,1741132799999,62835.711,992,15941.300000000001,37228.5105
1741132800000,2.333,2.342,2.319,2.324,102327.4,1741134599999,238265.9838,2496,38528.6,89719.9437
1741134600000,2.324,2.327,2.309,2.319,143366.6,1741136399999,332117.6891,2924,98597.3,228374.11539999998
1741136400000,2.319,2.329,2.295,2.321,197979.1,1741138199999,456692.5782,3183,59182.3,136718.2192
1741138200000,2.321,2.335,2.315,2.334,73550.6,1741139999999,171253.3738,2098,45250.799999999996,105372.24010000001
1741140000000,2.335,2.335,2.309,2.318,162910.5,1741141799999,377776.6637,2940,77829.0,180435.5765
1741141800000,2.318,2.344,2.308,2.326,105216.2,1741143599999,245201.5196,2525,66211.0,154403.6761
1741143600000,2.326,2.331,2.319,2.320,77652.8,1741145399999,180428.9323,1978,33842.2,78664.2213
1741145400000,2.320,2.329,2.288,2.289,98838.9,1741147199999,228482.7603,2005,46168.7,106915.3911
1741147200000,2.290,2.304,2.288,2.288,116255.8,1741148999999,266846.1355,2256,59780.299999999996,137205.737
1741149000000,2.287,2.299,2.286,2.295,41988.4,1741150799999,96254.6626,1200,22602.9,51816.8784
1741150800000,2.294,2.3,2.287,2.289,48296.5,1741152599999,110737.479,1074,22938.5,52609.2795
1741152600000,2.288,2.295,2.281,2.288,49972.4,1741154399999,114352.3092,1246,27775.0,63564.3753
1741154400000,2.287,2.287,2.271,2.280,51765.4,1741156199999,117900.9215,1532,23738.5,54073.2812
1741156200000,2.280,2.303,2.28,2.300,84775.6,1741157999999,194424.272,1627,49435.3,113355.0139
1741158000000,2.300,2.313,2.288,2.300,57573.2,1741159799999,132548.155,1433,35909.0,82691.148
1741159800000,2.300,2.311,2.296,2.306,69522.8,1741161599999,160122.1848,1689,35067.1,80801.5012
1741161600000,2.305,2.33,2.3,2.317,138415.0,1741163399999,320955.3657,2640,69516.2,161220.5241
1741163400000,2.317,2.332,2.311,2.324,97411.8,1741165199999,226155.2097,2140,49958.5,115980.2218
1741165200000,2.323,2.355,2.318,2.352,168148.2,1741166999999,392826.0133,3109,91596.8,214254.8694
1741167000000,2.352,2.357,2.337,2.342,104775.8,1741168799999,245630.0144,1763,40088.2,94016.9196
1741168800000,2.342,2.37,2.335,2.368,75326.3,1741170599999,177303.8127,1738,49483.0,116492.7841
1741170600000,2.368,2.388,2.363,2.369,225391.5,1741172399999,535406.3647,3968,108824.9,258612.7234
1741172400000,2.369,2.37,2.348,2.348,86450.0,1741174199999,204182.482,2298,45817.9,108293.8643
1741174200000,2.348,2.365,2.341,2.346,102420.4,1741175999999,240993.5126,2214,45969.2,108280.6884
1741176000000,2.347,2.364,2.346,2.359,52069.1,1741177799999,122694.5764,1723,24740.5,58312.8552
1741177800000,2.359,2.368,2.341,2.357,85814.4,1741179599999,201991.3729,2146,38796.4,91386.4577
1741179600000,2.358,2.362,2.337,2.350,103635.0,1741181399999,243566.79309999998,2655,44102.9,103693.4636
1741181400000,2.351,2.354,2.321,2.332,114007.7,1741183199999,266123.474,2841,50465.3,117775.608
1741183200000,2.331,2.336,2.316,2.326,70381.4,1741184999999,163725.6347,1782,34908.2,81245.9397
1741185000000,2.325,2.333,2.3,2.310,175619.9,1741186799999,406758.2928,4494,99076.1,229546.1956
1741186800000,2.311,2.342,2.3,2.306,333169.9,1741188599999,774178.6207,5989,169779.0,394833.9132
1741188600000,2.305,2.326,2.301,2.321,76414.8,1741190399999,177021.75830000002,1989,46179.0,106989.6958
1741190400000,2.321,2.33,2.295,2.306,96145.9,1741192199999,222425.5514,2817,51847.9,119976.7313
1741192200000,2.305,2.341,2.296,2.332,106988.3,1741193999999,247806.317,2692,66051.9,153059.8376
1741194000000,2.332,2.354,2.328,2.353,83947.5,1741195799999,196328.0925,2262,44607.9,104353.8848
1741195800000,2.353,2.363,2.335,2.351,82028.2,1741197599999,192812.8826,1926,41935.8,98620.1627
1741197600000,2.351,2.357,2.338,2.350,63356.1,1741199399999,148680.1305,2139,28571.8,67059.2118
1741199400000,2.349,2.362,2.341,2.359,44197.5,1741201199999,103809.4702,1391,26131.5,61431.2101
1741201200000,2.359,2.374,2.355,2.361,55692.6,1741202999999,131742.0701,1701,28139.5,66559.8733
1741203000000,2.362,2.369,2.355,2.364,27802.1,1741204799999,65690.2059,988,14460.8,34183.0213
1741204800000,2.365,2.374,2.361,2.369,47831.0,1741206599999,113280.11260000001,1436,19114.3,45263.678
1741206600000,2.368,2.38,2.365,2.372,36940.0,1741208399999,87698.28,1067,20573.4,48848.1558
1741208400000,2.372,2.382,2.368,2.373,58266.2,1741210199999,138296.3471,1459,30811.5,73154.40669999999
1741210200000,2.372,2.372,2.361,2.367,39240.8,1741211999999,92853.5788,1262,19193.5,45415.895
1741212000000,2.367,2.37,2.363,2.363,33259.6,1741213799999,78684.89319999999,943,13121.8,31052.0983
1741213800000,2.364,2.373,2.362,2.368,29045.899999999998,1741215599999,68708.4673,818,17579.5,41583.113
1741215600000,2.368,2.374,2.36,2.367,35676.5,1741217399999,84443.7828,1215,17836.0,42211.4934
1741217400000,2.367,2.376,2.365,2.367,30482.2,1741219199999,72254.1919,1074,15106.9,35811.4141
1741219200000,2.366,2.377,2.356,2.363,99647.7,1741220999999,235437.6868,2552,45608.200000000004,107793.1994
1741221000000,2.364,2.365,2.342,2.348,88191.0,1741222799999,207513.4659,2159,39609.3,93258.2386
1741222800000,2.349,2.361,2.344,2.348,57636.5,1741224599999,135456.7879,1688,35713.4,83946.0709
1741224600000,2.347,2.396,2.338,2.373,163935.2,1741226399999,388816.6686,3620,90798.2,215323.5459
1741226400000,2.374,2.389,2.365,2.374,83427.4,1741228199999,198287.1713,2329,43189.8,102651.1985
1741228200000,2.374,2.387,2.367,2.383,61289.0,1741229999999,145573.5383,1577,26956.5,64059.8981
1741230000000,2.383,2.399,2.379,2.393,92754.6,1741231799999,221560.2676,1825,47248.0,112918.8792
1741231800000,2.393,2.398,2.387,2.393,44790.1,1741233599999,107180.9642,1153,15507.6,37114.121
1741233600000,2.394,2.399,2.382,2.384,59003.7,1741235399999,140995.4134,1398,27822.1,66526.2172
1741235400000,2.385,2.412,2.385,2.405,57619.1,1741237199999,138188.5499,1434,33385.0,80024.4385
1741237200000,2.406,2.424,2.399,2.419,62340.9,1741238999999,150251.9404,1712,30806.5,74275.8404
1741239000000,2.419,2.423,2.404,2.411,48790.2,1741240799999,117838.776,1284,22481.6,54335.0742
1741240800000,2.410,2.414,2.395,2.405,48759.4,1741242599999,117099.75039999999,1387,25850.3,62083.0861
1741242600000,2.406,2.408,2.395,2.396,24124.1,1741244399999,57962.9955,957,10889.6,26169.76
1741244400000,2.397,2.4,2.382,2.387,39610.2,1741246199999,94650.5421,1255,16867.3,40291.9352
1741246200000,2.388,2.39,2.37,2.376,50415.8,1741247999999,119970.5211,1152,21235.6,50536.095
1741248000000,2.375,2.383,2.369,2.382,85851.3,1741249799999,203816.8595,2868,43820.1,104060.0065
1741249800000,2.382,2.394,2.375,2.386,60834.8,1741251599999,145106.51559999998,1707,24169.6,57652.1557
1741251600000,2.386,2.386,2.367,2.373,88154.2,1741253399999,209619.37960000001,2108,33409.2,79460.1246
1741253400000,2.374,2.384,2.366,2.371,79911.7,1741255199999,189560.4276,1995,27728.1,65809.01209999999
1741255200000,2.372,2.396,2.364,2.394,61971.8,1741256999999,147547.8966,2065,40762.9,97071.9942
1741257000000,2.393,2.394,2.381,2.389,33398.5,1741258799999,79770.2518,1009,18013.6,43023.0051
1741258800000,2.389,2.392,2.376,2.389,33276.8,1741260599999,79342.5935,936,16600.5,39594.506199999996
1741260600000,2.389,2.39,2.38,2.382,34570.0,1741262399999,82442.6802,1140,16468.1,39273.6647
1741262400000,2.382,2.384,2.354,2.366,78497.3,1741264199999,185720.9889,1673,30493.600000000002,72139.8622
1741264200000,2.367,2.368,2.349,2.355,55393.5,1741265999999,130541.7258,1555,27160.2,64015.777799999996
1741266000000,2.356,2.363,2.338,2.348,61064.6,1741267799999,143654.994,1683,24986.5,58796.1046
1741267800000,2.348,2.361,2.338,2.342,60644.6,1741269599999,142502.2197,1751,27750.8,65226.371999999996
1741269600000,2.341,2.352,2.334,2.350,72353.5,1741271399999,169428.106,1940,26774.4,62740.7158
1741271400000,2.349,2.356,2.312,2.333,157331.0,1741273199999,366105.2036,3879,67481.5,157141.2757
1741273200000,2.333,2.372,2.33,2.359,84432.8,1741274999999,198764.4687,2594,48990.3,115298.6191
1741275000000,2.360,2.374,2.35,2.355,34909.6,1741276799999,82349.1835,1510,17478.3,41251.1682
1741276800000,2.355,2.368,2.338,2.345,55846.9,1741278599999,131405.2165,2327,26429.8,62165.4044
1741278600000,2.345,2.351,2.323,2.325,63494.5,1741280399999,148555.7104,2298,26168.3,61253.1836
1741280400000,2.325,2.327,2.301,2.314,132477.6,1741282199999,306433.9783,3361,68417.0,158264.537
1741282200000,2.314,2.321,2.289,2.305,110761.7,1741283999999,254795.304,3019,58177.1,133881.1544
1741284000000,2.306,2.313,2.297,2.298,60656.9,1741285799999,139926.5604,1922,38287.7,88335.2962
1741285800000,2.299,2.307,2.29,2.304,58373.9,1741287599999,134210.0285,1777,28625.2,65814.2786
1741287600000,2.305,2.306,2.292,2.296,49562.5,1741289399999,113856.7168,1753,18852.8,43312.9521
1741289400000,2.295,2.323,2.286,2.302,78585.2,1741291199999,181194.5016,2432,46086.6,106287.60399999999
1741291200000,2.302,2.318,2.299,2.311,95852.9,1741292999999,221333.8629,2771,61745.6,142601.8852
1741293000000,2.311,2.314,2.294,2.304,79166.3,1741294799999,182309.1078,2221,36804.3,84793.55529999999
1741294800000,2.305,2.326,2.304,2.316,63023.2,1741296599999,146044.3642,2610,40445.6,93732.5336
1741296600000,2.316,2.322,2.301,2.321,57871.8,1741298399999,133711.8571,2891,33967.9,78525.6981
1741298400000,2.321,2.345,2.317,2.323,186940.4,1741300199999,435929.1864,4164,90717.2,211485.2977
1741300200000,2.323,2.337,2.317,2.327,27919.8,1741301999999,64945.0972,852,12948.0,30113.4889
1741302000000,2.327,2.333,2.319,2.321,35504.6,1741303799999,82556.184,1282,18805.7,43726.9197
1741303800000,2.320,2.327,2.31,2.310,28748.2,1741305599999,66633.5049,984,13281.9,30808.2416
1741305600000,2.311,2.33,2.226,2.236,914277.5,1741307399999,2071017.1221,14802,480002.0,1086759.5361
1741307400000,2.236,2.252,2.196,2.205,405452.6,1741309199999,902114.1504,6607,196548.0,437501.7586
1741309200000,2.205,2.273,2.194,2.265,230774.0,1741310999999,516020.8895,4560,108523.1,242587.0612
1741311000000,2.264,2.299,2.256,2.285,120848.2,1741312799999,275397.0026,2992,64429.6,146843.4092
1741312800000,2.284,2.294,2.277,2.283,110489.7,1741314599999,252399.85640000002,3015,58044.6,132636.0591
1741314600000,2.284,2.303,2.279,2.280,76245.6,1741316399999,174524.6916,2089,36849.0,84375.5728
1741316400000,2.280,2.291,2.276,2.287,56507.3,1741318199999,129065.8553,2005,27543.7,62931.386
1741318200000,2.288,2.288,2.267,2.268,58868.1,1741319999999,134082.44640000002,1532,20647.6,47014.4337
1741320000000,2.268,2.283,2.266,2.282,39175.9,1741321799999,89045.65090000001,1121,23394.1,53185.7265
1741321800000,2.281,2.282,2.266,2.267,29477.600000000002,1741323599999,67066.4233,917,14826.6,33752.2076
1741323600000,2.266,2.294,2.265,2.285,46316.3,1741325399999,105525.3223,1301,28341.399999999998,64601.3961
1741325400000,2.285,2.293,2.28,2.285,50769.1,1741327199999,116037.5147,1122,31373.0,71708.421
1741327200000,2.286,2.287,2.274,2.278,37595.4,1741328999999,85659.9569,1051,15574.6,35485.144
1741329000000,2.279,2.296,2.279,2.288,60287.299999999996,1741330799999,137889.7539,1237,29799.6,68203.5776
1741330800000,2.287,2.352,2.283,2.335,1199061.3,1741332599999,2791016.9366,15307,664159.9,1545475.9237
1741332600000,2.335,2.346,2.314,2.334,374383.5,1741334399999,871573.8687999999,6193,175245.0,407974.4019
1741334400000,2.334,2.344,2.318,2.324,164303.9,1741336199999,382675.6951,3542,88993.5,207311.19030000002
1741336200000,2.323,2.346,2.319,2.337,122708.2,1741337999999,286476.8965,2658,56151.5,131119.2882
1741338000000,2.336,2.374,2.336,2.374,158762.6,1741339799999,374468.5503,2906,85977.3,202806.0489
1741339800000,2.373,2.379,2.357,2.358,94039.6,1741341599999,222806.6287,2314,39408.7,93385.7069
1741341600000,2.358,2.371,2.357,2.366,69919.4,1741343399999,165257.7218,1953,32115.2,75914.3443
1741343400000,2.365,2.381,2.359,2.373,48921.4,1741345199999,115873.6606,1656,22048.7,52221.426999999996
1741345200000,2.374,2.377,2.364,2.364,80095.5,1741346999999,189877.4558,2058,38611.4,91538.87359999999
1741347000000,2.364,2.365,2.35,2.352,61625.7,1741348799999,145205.3239,1636,21595.8,50893.7293
1741348800000,2.353,2.356,2.342,2.351,53050.6,1741350599999,124661.485,1982,28734.4,67535.4418
1741350600000,2.350,2.351,2.329,2.340,89519.7,1741352399999,209377.23679999998,2339,39725.9,92922.5035
1741352400000,2.340,2.353,2.336,2.342,63966.2,1741354199999,149893.0006,2097,30145.3,70652.2754
1741354200000,2.342,2.385,2.338,2.347,332562.2,1741355999999,786416.6187,6162,170115.4,402227.7765
1741356000000,2.348,2.358,2.331,2.342,95118.5,1741357799999,223315.1351,2481,43701.2,102667.1637
1741357800000,2.341,2.387,2.336,2.369,192018.3,1741359599999,454158.6246,4502,91313.0,216048.8524
1741359600000,2.368,2.38,2.355,2.364,98288.6,1741361399999,232748.3913,2893,48505.9,114870.6954
1741361400000,2.365,2.372,2.339,2.363,186341.7,1741363199999,438888.1315,4208,98013.09999999999,230776.1694
1741363200000,2.363,2.373,2.32,2.327,268742.9,1741364999999,630245.7347,6162,114336.5,268095.7677
1741365000000,2.327,2.337,2.311,2.326,151455.1,1741366799999,352206.0518,3485,64374.9,149642.6695
1741366800000,2.326,2.334,2.313,2.327,79902.8,1741368599999,185650.8482,2503,35717.4,82978.6843
1741368600000,2.326,2.36,2.32,2.345,76753.4,1741370399999,179602.8671,2451,41005.6,95887.7355
1741370400000,2.345,2.365,2.342,2.363,62682.7,1741372199999,147643.4655,1778,29474.1,69432.9885
1741372200000,2.364,2.383,2.36,2.382,72270.8,1741373999999,171460.03160000002,1665,40756.3,96714.2922
1741374000000,2.381,2.387,2.373,2.378,103251.8,1741375799999,245541.8145,2046,62572.9,148810.9364
1741375800000,2.378,2.383,2.361,2.373,97438.6,1741377599999,231151.0955,1833,48884.5,115952.131
1741377600000,2.373,2.379,2.362,2.366,43344.7,1741379399999,102785.3631,1181,20215.5,47947.4168
1741379400000,2.365,2.381,2.338,2.351,172722.3,1741381199999,406760.575,3799,79570.1,187536.4321
1741381200000,2.351,2.354,2.308,2.344,295478.9,1741382999999,687614.8345,5344,148861.0,346309.8376
1741383000000,2.345,2.345,2.305,2.315,177949.7,1741384799999,413716.5829,3180,63982.0,148821.0592
1741384800000,2.314,2.315,2.286,2.305,167873.0,1741386599999,386466.8072,3394,73375.3,168844.9637
1741386600000,2.305,2.332,2.305,2.324,53735.8,1741388399999,124785.3634,1254,25896.6,60143.3164
1741388400000,2.323,2.326,2.283,2.298,174092.7,1741390199999,400708.7226,2795,85157.9,195956.8723
1741390200000,2.297,2.31,2.287,2.307,67109.3,1741391999999,154433.0963,1439,36990.8,85106.2009
1741392000000,2.306,2.306,2.291,2.297,79468.7,1741393799999,182641.884,1929,38082.8,87544.0709
1741393800000,2.297,2.312,2.293,2.309,68530.9,1741395599999,157721.1407,1434,34598.6,79639.1242
1741395600000,2.308,2.315,2.288,2.292,58233.9,1741397399999,133985.0333,1511,20650.7,47518.6394
1741397400000,2.292,2.293,2.261,2.284,98133.6,1741399199999,223328.8424,2247,43190.6,98254.4214
1741399200000,2.285,2.289,2.28,2.281,38318.5,1741400999999,87530.9089,1205,17204.8,39308.2283
1741401000000,2.280,2.29,2.276,2.288,37702.1,1741402799999,86019.8889,1139,16171.300000000001,36910.023199999996
1741402800000,2.287,2.287,2.267,2.277,63520.5,1741404599999,144652.3823,1436,29320.8,66756.0008
1741404600000,2.277,2.294,2.276,2.289,30477.0,1741406399999,69715.761,924,17507.7,40051.5437
1741406400000,2.289,2.305,2.282,2.303,46314.7,1741408199999,106183.9087,1225,21534.6,49376.897
1741408200000,2.303,2.316,2.3,2.314,39284.5,1741409999999,90627.0411,1364,16844.5,38876.4969
1741410000000,2.313,2.315,2.292,2.293,30165.6,1741411799999,69481.0853,885,11940.3,27528.8767
1741411800000,2.294,2.294,2.281,2.283,43150.7,1741413599999,98593.2498,964,22144.8,50588.1166
1741413600000,2.284,2.292,2.28,2.286,43638.6,1741415399999,99764.0643,978,20754.2,47439.9444
1741415400000,2.286,2.286,2.27,2.276,24496.0,1741417199999,55786.1758,772,14127.300000000001,32175.9545
1741417200000,2.276,2.288,2.275,2.279,32872.0,1741418999999,75015.2173,830,17887.7,40833.2811
1741419000000,2.279,2.279,2.263,2.268,44128.8,1741420799999,100264.7978,914,19848.6,45103.1027
1741420800000,2.267,2.274,2.255,2.261,42019.4,1741422599999,95080.4509,1138,16897.600000000002,38250.1347
1741422600000,2.262,2.265,2.255,2.260,35293.1,1741424399999,79794.6288,993,22051.9,49866.1151
1741424400000,2.259,2.282,2.258,2.281,33074.6,1741426199999,75118.0539,890,21122.6,47988.7281
1741426200000,2.281,2.286,2.256,2.263,29986.7,1741427999999,68052.5629,873,10256.2,23287.2868
1741428000000,2.262,2.272,2.26,2.272,24599.0,1741429799999,55730.982299999996,767,12506.300000000001,28347.9263
1741429800000,2.272,2.279,2.269,2.273,22311.3,1741431599999,50729.4219,655,10414.1,23678.9999
1741431600000,2.273,2.273,2.25,2.255,45834.1,1741433399999,103505.3867,1212,21352.3,48212.4691
1741433400000,2.256,2.262,2.242,2.255,61075.1,1741435199999,137490.1271,1503,34867.2,78496.0355
1741435200000,2.256,2.273,2.245,2.266,64373.200000000004,1741436999999,145570.0386,1426,28515.0,64462.4813
1741437000000,2.266,2.277,2.261,2.274,41023.2,1741438799999,93122.7852,1082,18331.2,41600.3658
1741438800000,2.275,2.283,2.266,2.277,55076.0,1741440599999,125276.4348,1460,26932.5,61261.7506
1741440600000,2.277,2.284,2.269,2.275,37737.1,1741442399999,85885.0908,1316,20181.2,45931.1101
1741442400000,2.275,2.284,2.267,2.282,28506.5,1741444199999,64875.5576,906,14967.8,34079.0334
1741444200000,2.281,2.285,2.267,2.270,28571.3,1741445999999,65062.3629,858,15476.2,35241.0462
1741446000000,2.269,2.269,2.252,2.265,74119.8,1741447799999,167561.2814,1596,41478.7,93764.4431
1741447800000,2.266,2.27,2.257,2.257,32127.3,1741449599999,72712.2826,894,11681.9,26438.2608
1741449600000,2.256,2.262,2.225,2.233,75301.8,1741451399999,168599.6284,1834,32726.9,73280.9545
1741451400000,2.232,2.25,2.227,2.246,41592.8,1741453199999,93189.8064,1107,20772.0,46548.8329
1741453200000,2.246,2.265,2.232,2.256,66342.6,1741454999999,149247.9442,1958,31732.5,71379.1222
1741455000000,2.256,2.263,2.25,2.253,55168.4,1741456799999,124480.301,2773,26520.1,59852.5568
1741456800000,2.253,2.269,2.25,2.268,45646.7,1741458599999,103109.091,2965,24180.3,54628.0709
1741458600000,2.268,2.273,2.264,2.267,42606.4,1741460399999,96641.0833,1368,17184.3,38974.5951
1741460400000,2.266,2.274,2.25,2.273,39679.0,1741462199999,89660.686,1240,19587.4,44253.1765
1741462200000,2.274,2.28,2.269,2.277,35108.3,1741463999999,79836.9717,1065,19869.1,45188.8066
1741464000000,2.276,2.277,2.263,2.266,34089.6,1741465799999,77363.5629,1007,14638.5,33230.9471
1741465800000,2.266,2.269,2.261,2.263,19952.3,1741467599999,45194.7661,672,10151.7,22988.8297
1741467600000,2.264,2.271,2.262,2.271,18028.9,1741469399999,40835.4374,692,10554.0,23905.2094
1741469400000,2.270,2.27,2.249,2.252,26471.3,1741471199999,59772.1671,716,12611.4,28472.942199999998
1741471200000,2.251,2.253,2.223,2.233,50406.2,1741472999999,112631.8875,1263,25655.4,57340.2288
1741473000000,2.233,2.244,2.233,2.242,25701.4,1741474799999,57520.435,793,14028.3,31390.7467
1741474800000,2.242,2.248,2.238,2.242,22136.6,1741476599999,49630.061499999996,1044,10050.8,22535.5307
1741476600000,2.242,2.243,2.233,2.243,33048.2,1741478399999,73951.94,989,16322.3,36517.4517
1741478400000,2.244,2.26,2.239,2.257,59067.4,1741480199999,133034.76440000001,1254,38339.9,86389.70390000001
1741480200000,2.257,2.259,2.246,2.254,34385.0,1741481999999,77442.616,890,13602.8,30624.6208
1741482000000,2.255,2.262,2.254,2.256,49584.2,1741483799999,111962.8046,1177,23181.3,52337.8879
1741483800000,2.257,2.258,2.245,2.250,42908.8,1741485599999,96598.1312,1129,18335.5,41272.3774
1741485600000,2.249,2.25,2.237,2.244,45033.1,1741487399999,101017.0629,1001,20084.3,45056.1418
1741487400000,2.244,2.247,2.232,2.235,44551.5,1741489199999,99688.1443,881,17942.600000000002,40138.868500000004
1741489200000,2.236,2.238,2.225,2.230,40253.9,1741490999999,89771.2604,1042,21808.2,48639.0753
1741491000000,2.231,2.236,2.228,2.230,48684.8,1741492799999,108664.9587,1081,19438.6,43396.5505
1741492800000,2.230,2.233,2.226,2.231,40804.2,1741494599999,90935.7688,901,23254.5,51826.3169
1741494600000,2.231,2.235,2.229,2.232,30720.7,1741496399999,68543.5696,718,17628.4,39330.2969
1741496400000,2.231,2.239,2.219,2.236,40592.6,1741498199999,90447.2832,1104,21410.6,47714.6799
1741498200000,2.237,2.238,2.216,2.220,32267.2,1741499999999,71865.7113,829,12362.5,27513.032
1741500000000,2.219,2.22,2.205,2.212,35014.7,1741501799999,77426.3429,1093,21188.399999999998,46854.6125
1741501800000,2.213,2.219,2.211,2.215,27961.5,1741503599999,61934.0147,825,13831.0,30638.0354
1741503600000,2.216,2.234,2.213,2.233,37448.7,1741505399999,83264.5342,991,22177.7,49295.6622
1741505400000,2.233,2.237,2.227,2.229,29608.2,1741507199999,66047.5896,892,12130.9,27061.4657
1741507200000,2.229,2.232,2.217,2.221,35810.9,1741508999999,79638.7388,1047,15011.3,33386.0862
1741509000000,2.221,2.228,2.214,2.214,66520.3,1741510799999,147629.2731,1265,29767.8,66073.14
1741510800000,2.215,2.218,2.211,2.215,26028.8,1741512599999,57626.6409,1000,12390.6,27434.6951
1741512600000,2.214,2.217,2.195,2.197,42180.9,1741514399999,93000.25230000001,1262,17486.1,38556.282100000004
1741514400000,2.198,2.201,2.176,2.180,77680.6,1741516199999,170058.8721,2069,35997.4,78793.6163
1741516200000,2.179,2.179,2.155,2.163,112648.3,1741517999999,244050.1112,2303,60605.8,131284.873
1741518000000,2.163,2.17,2.162,2.166,48115.6,1741519799999,104189.7965,1043,23121.0,50075.5229
1741519800000,2.165,2.172,2.161,2.170,40759.1,1741521599999,88300.97929999999,1037,24824.9,53787.5527
1741521600000,2.171,2.173,2.153,2.165,128923.5,1741523399999,278730.3815,1841,64596.6,139602.97770000002
1741523400000,2.165,2.183,2.161,2.180,111280.4,1741525199999,241970.0231,1586,76795.4,166980.29379999998
1741525200000,2.180,2.195,2.177,2.192,109313.0,1741526999999,238998.1913,1826,49402.1,108013.946
1741527000000,2.191,2.192,2.152,2.153,159725.6,1741528799999,346319.5898,2098,65062.9,141085.0901
