open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_vol,taker_buy_quote_vol
1741049220000,1.0811,1.0861,1.0743,1.0752,141147.5,1741049999999,152669.66267,3136,56508.2,61154.93475
1741050000000,1.0752,1.0779,1.0616,1.0661,716694.3,1741050899999,765165.4805,8183,284250.3,303350.60532000003
1741050900000,1.0662,1.0716,1.055,1.0651,678137.4,1741051799999,720928.09635,7257,286728.6,304764.33655
1741051800000,1.0650,1.0687,1.0259,1.0298,1608487.8,1741052699999,1679519.77212,15507,694416.4,724883.17921
1741052700000,1.0299,1.0369,1.0186,1.0198,1775593.7,1741053599999,1824123.04474,15009,769512.3,790429.67047
1741053600000,1.0198,1.0289,0.9892,1.0122,2763526.3,1741054499999,2777816.71319,22045,1258139.6,1265908.87108
1741054500000,1.0121,1.0156,0.9907,1.0129,996631.0,1741055399999,997542.05117,11880,511837.3,512408.17474
1741055400000,1.0130,1.0188,1.0059,1.0059,441988.5,1741056299999,447930.69935,7244,225699.0,228823.52442
1741056300000,1.0059,1.0232,1.0047,1.0159,296107.2,1741057199999,300365.4453,4899,171651.1,174107.633
1741057200000,1.0159,1.0208,1.0077,1.0097,656935.4,1741058099999,666525.83783,7168,256599.1,260603.11602
1741058100000,1.0098,1.0134,1.0076,1.0107,345072.1,1741058999999,348589.27646,4597,157442.4,159092.86405
1741059000000,1.0107,1.0166,1.0059,1.0074,317122.6,1741059899999,320735.62477,4486,164343.1,166200.39545
1741059900000,1.0074,1.0256,1.0052,1.0150,353932.0,1741060799999,360373.62841,4754,178405.2,181602.45704
1741060800000,1.0149,1.0177,1.0113,1.0167,273866.2,1741061699999,277850.66772,4158,136965.8,139017.60834
1741061700000,1.0172,1.0241,1.0164,1.0182,244822.7,1741062599999,249741.03228,3598,112325.90000000001,114644.64124
1741062600000,1.0183,1.0209,1.0133,1.0203,278247.6,1741063499999,282882.13557,3770,144385.9,146819.51901
1741063500000,1.0204,1.0221,1.0132,1.0152,271309.1,1741064399999,276387.53136,3987,116971.1,119210.68992
1741064400000,1.0153,1.035,1.0118,1.0214,489307.0,1741065299999,500508.91593,7208,225671.1,231225.37311
1741065300000,1.0214,1.0294,1.0192,1.0279,740123.2,1741066199999,757966.60297,6380,345538.7,353827.62281
1741066200000,1.0281,1.0319,1.022,1.0293,336183.9,1741067099999,345430.80214,4349,182265.8,187371.06609
1741067100000,1.0292,1.0328,1.0257,1.0298,236538.9,1741067999999,243424.20017999999,3326,112934.9,116233.05368
1741068000000,1.0298,1.0372,1.0266,1.0330,460640.1,1741068899999,475842.09686,4660,279623.0,288854.44964
1741068900000,1.0330,1.0376,1.0285,1.0365,189338.6,1741069799999,195557.75445,3094,63267.4,65373.34818
1741069800000,1.0364,1.0378,1.0269,1.0277,209963.1,1741070699999,216691.62455,2864,85360.7,87958.29086000001
1741070700000,1.0276,1.0285,1.0218,1.0244,132709.9,1741071599999,136020.76354,2232,58252.6,59713.648310000004
1741071600000,1.0244,1.029,1.0171,1.0198,211356.0,1741072499999,216034.19154,3404,104796.9,107140.45613
1741072500000,1.0199,1.0219,1.0166,1.0179,341792.1,1741073399999,348256.28756,2749,219762.3,223893.71658
1741073400000,1.0178,1.0237,1.0173,1.0185,138917.8,1741074299999,141812.54918,2353,82048.8,83764.12862
