open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_vol,taker_buy_quote_vol
1678476960000,19931.40,19955.80,19931.40,19952.80,610.446,1678477019999,12177483.70620,3261,394.431,7868138.33870
1678477020000,19952.80,19955.80,19946.20,19950.60,332.543,1678477079999,6634721.50820,1826,159.931,3190957.16240
1678477080000,19950.60,19968.90,19939.90,19941.90,416.440,1678477139999,8310516.36000,2374,240.594,4801725.45920
1678477140000,19941.90,19951.20,19928.80,19945.70,414.711,1678477199999,8269201.64310,1999,247.668,4938815.71760
1678477200000,19945.70,19945.70,19931.40,19939.00,210.019,1678477259999,4187754.83790,2002,91.520,1824880.63650
1678477260000,19939.00,19944.30,19935.00,19935.50,123.919,1678477319999,2470849.35470,1049,57.689,1150221.03480
1678477320000,19935.60,19978.70,19935.10,19970.60,657.130,1678477379999,13119566.68300,2940,427.487,8534043.33490
1678477380000,19970.60,19970.60,19942.80,19943.80,326.083,1678477439999,6508207.15010,1997,129.038,2575323.46220
1678477440000,19943.80,19946.10,19935.30,19946.10,241.541,1678477499999,4816241.40890,1599,114.102,2275092.61750
1678477500000,19946.10,19959.90,19944.10,19953.80,242.399,1678477559999,4835990.08660,1645,131.172,2617145.63920
1678477560000,19953.80,19964.80,19949.80,19961.20,271.507,1678477619999,5418420.69110,1615,179.626,3584709.17500
1678477620000,19961.20,20000.00,19955.00,19997.70,558.362,1678477679999,11156071.28850,3405,440.427,8800274.05720
1678477680000,19997.70,20015.10,19981.20,19983.00,1088.959,1678477739999,21779114.40060,5357,508.695,10174949.88700
1678477740000,19983.00,20007.80,19980.70,20007.70,733.185,1678477799999,14661003.08050,3175,472.261,9443913.12530
1678477800000,20007.70,20007.70,19975.90,19981.90,442.374,1678477859999,8844390.42580,2917,153.947,3077831.57300
1678477860000,19981.90,19987.80,19973.70,19984.00,379.217,1678477919999,7577262.45530,2187,120.038,2398616.25120
1678477920000,19983.90,20011.10,19981.50,20008.90,329.515,1678477979999,6588909.19490,2119,223.106,4461583.40390
1678477980000,20009.00,20044.00,19996.10,20021.50,1027.092,1678478039999,20561381.63520,4969,686.401,13741439.84010
